81,Jimmy Butler\butleji01,SG,29,MIN,10,10,361,74,157,.471,17,45,.378,57,112,.509,.525,48,61,.787,16,36,52,43,24,10,14,18,213
81,Jimmy Butler\butleji01,SF,29,PHI,36,36,1179,236,486,.486,39,106,.368,197,380,.518,.526,166,188,.883,60,121,181,137,70,17,49,61,677
82,Bruno Caboclo\cabocbr01,SF,23,MEM,11,1,222,22,61,.361,11,39,.282,11,22,.500,.451,14,14,1.000,10,27,37,10,5,14,9,28,69
83,Jose Calderon\caldejo01,PG,37,DET,46,0,621,45,118,.381,14,56,.250,31,62,.500,.441,9,11,.818,9,47,56,113,16,3,35,63,113
84,Kentavious Caldwell-Pope\caldwke01,SG,25,LAL,57,12,1368,201,464,.433,93,267,.348,108,197,.548,.533,91,107,.850,33,124,157,63,49,8,39,88,586
85,Isaiah Canaan\canaais01,PG,27,TOT,26,16,598,62,158,.392,32,91,.352,30,67,.448,.494,19,24,.792,5,49,54,81,14,1,33,50,175
85,Isaiah Canaan\canaais01,PG,27,PHO,19,15,503,51,129,.395,25,72,.347,26,57,.456,.492,15,20,.750,5,44,49,62,12,0,29,46,142
85,Isaiah Canaan\canaais01,PG,27,MIN,7,1,95,11,29,.379,7,19,.368,4,10,.400,.500,4,4,1.000,0,5,5,19,2,1,4,4,33
86,Clint Capela\capelca01,C,24,HOU,42,42,1436,315,499,.631,0,0,,315,499,.631,.631,109,174,.626,208,320,528,62,25,77,65,112,739
87,DeMarre Carroll\carrode01,SF,32,BRK,46,0,1181,156,404,.386,72,209,.344,84,195,.431,.475,132,176,.750,48,189,237,62,24,7,52,73,516
88,Jevon Carter\carteje01,PG,23,MEM,25,3,381,26,107,.243,13,56,.232,13,51,.255,.304,8,13,.615,5,30,35,45,21,8,22,38,73
89,Vince Carter\cartevi01,SF,42,ATL,53,8,838,124,289,.429,74,191,.387,50,98,.510,.557,24,36,.667,22,114,136,51,30,17,34,92,346
90,Wendell Carter\cartewe01,C,19,CHI,44,44,1110,180,371,.485,6,32,.188,174,339,.513,.493,89,112,.795,87,220,307,78,26,58,65,152,455
91,Michael Carter-Williams\cartemi01,PG,27,HOU,16,1,145,25,61,.410,7,19,.368,18,42,.429,.467,12,26,.462,3,10,13,21,9,6,10,27,69
92,Alex Caruso\carusal01,PG,24,LAL,5,0,20,2,4,.500,1,1,1.000,1,3,.333,.625,1,4,.250,1,0,1,1,0,2,0,3,6
93,Omri Casspi\casspom01,SF,30,MEM,36,0,520,86,161,.534,15,43,.349,71,118,.602,.581,39,58,.672,17,98,115,26,20,9,23,35,226
94,Willie Cauley-Stein\caulewi01,C,25,SAC,57,57,1601,308,571,.539,1,2,.500,307,569,.540,.540,107,196,.546,138,347,485,148,72,39,69,174,724
95,Troy Caupain\caupatr01,PG,23,ORL,2,0,9,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,0,2,2,3,1,0,0,0,5
96,Tyler Cavanaugh\cavanty01,PF,24,UTA,8,0,19,2,6,.333,0,3,.000,2,3,.667,.333,2,2,1.000,1,3,4,0,0,0,1,0,6
97,Tyson Chandler\chandty01,C,36,TOT,48,6,813,59,97,.608,0,1,.000,59,96,.615,.608,48,81,.593,90,201,291,34,20,22,36,103,166
97,Tyson Chandler\chandty01,C,36,PHO,7,0,89,8,12,.667,0,0,,8,12,.667,.667,10,18,.556,7,32,39,6,2,1,7,21,26
97,Tyson Chandler\chandty01,C,36,LAL,41,6,724,51,85,.600,0,1,.000,51,84,.607,.600,38,63,.603,83,169,252,28,18,21,29,82,140
98,Wilson Chandler\chandwi01,PF,31,PHI,36,32,951,91,207,.440,46,118,.390,45,89,.506,.551,13,18,.722,44,124,168,72,22,18,39,94,241
99,Joe Chealey\chealjo01,PG,23,CHO,1,0,8,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,0,0,1,0,0,0,1,2
100,Marquese Chriss\chrisma01,PF,21,TOT,20,1,201,33,75,.440,10,31,.323,23,44,.523,.507,10,12,.833,14,39,53,10,6,4,17,30,86
100,Marquese Chriss\chrisma01,PF,21,HOU,16,0,104,11,34,.324,1,15,.067,10,19,.526,.338,6,7,.857,7,21,28,6,2,4,12,17,29
100,Marquese Chriss\chrisma01,PF,21,CLE,4,1,97,22,41,.537,9,16,.563,13,25,.520,.646,4,5,.800,7,18,25,4,4,0,5,13,57
101,Gary Clark\clarkga01,PF,24,HOU,37,1,528,35,110,.318,29,100,.290,6,10,.600,.450,6,6,1.000,18,76,94,14,15,22,5,38,105
102,Ian Clark\clarkia01,SG,27,NOP,41,0,535,70,177,.395,31,90,.344,39,87,.448,.483,14,15,.933,6,45,51,48,7,4,36,53,185
103,Jordan Clarkson\clarkjo01,SG,26,CLE,57,0,1542,383,854,.448,108,322,.335,275,532,.517,.512,106,127,.835,55,142,197,139,42,11,98,86,980
104,John Collins\collijo01,PF,21,ATL,42,40,1248,319,556,.574,37,103,.359,282,453,.623,.607,128,171,.749,149,250,399,87,13,17,88,141,803
105,Zach Collins\colliza01,C,21,POR,57,0,1035,141,298,.473,30,88,.341,111,210,.529,.523,75,96,.781,82,163,245,54,22,47,57,142,387
106,Darren Collison\collida01,PG,31,IND,58,58,1626,227,482,.471,61,147,.415,166,335,.496,.534,96,117,.821,26,144,170,342,83,8,88,102,611
107,Mike Conley\conlemi01,PG,31,MEM,56,56,1875,378,886,.427,120,339,.354,258,547,.472,.494,241,284,.849,34,158,192,358,78,18,104,95,1117
108,Pat Connaughton\connapa01,SG,26,MIL,37,1,626,84,192,.438,32,111,.288,52,81,.642,.521,15,22,.682,28,93,121,68,16,15,18,40,215
109,Quinn Cook\cookqu01,PG,25,GSW,49,8,705,134,300,.447,50,134,.373,84,166,.506,.530,15,20,.750,16,93,109,82,17,3,32,66,333
110,DeMarcus Cousins\couside01,C,28,GSW,11,11,257,50,118,.424,9,31,.290,41,87,.471,.462,44,60,.733,13,62,75,41,14,12,23,40,153
111,Robert Covington\covinro01,SF,28,TOT,35,35,1203,156,362,.431,85,225,.378,71,137,.518,.548,68,89,.764,28,165,193,46,74,47,47,126,465
111,Robert Covington\covinro01,SF,28,PHI,13,13,440,50,117,.427,30,77,.390,20,40,.500,.556,17,23,.739,7,60,67,14,24,23,22,45,147
111,Robert Covington\covinro01,SF,28,MIN,22,22,763,106,245,.433,55,148,.372,51,97,.526,.545,51,66,.773,21,105,126,32,50,24,25,81,318
112,Allen Crabbe\crabbal01,SG,26,BRK,32,15,831,105,285,.368,79,195,.405,26,90,.289,.507,36,47,.766,13,95,108,34,20,9,35,76,325
113,Torrey Craig\craigto01,SF,28,DEN,52,37,1166,120,276,.435,41,139,.295,79,137,.577,.509,32,50,.640,73,130,203,49,28,33,38,127,313
114,Jamal Crawford\crawfja01,SG,38,PHO,49,0,864,108,295,.366,38,133,.286,70,162,.432,.431,58,71,.817,7,52,59,166,22,9,72,58,312
115,Mitch Creek\creekmi01,SF,26,BRK,4,0,36,5,10,.500,0,1,.000,5,9,.556,.500,5,7,.714,5,5,10,5,1,0,0,3,15
116,Jae Crowder\crowdja01,SF,28,UTA,56,8,1536,218,555,.393,122,366,.333,96,189,.508,.503,105,152,.691,45,219,264,91,44,21,65,118,663
117,Dante Cunningham\cunnida01,PF,31,SAS,53,21,845,71,142,.500,30,60,.500,41,82,.500,.606,13,16,.813,45,133,178,48,23,13,21,66,185
118,Seth Curry\curryse01,SG,28,POR,51,2,879,118,267,.442,66,142,.465,52,125,.416,.566,15,17,.882,16,57,73,50,19,7,35,69,317
119,Stephen Curry\curryst01,PG,30,GSW,46,46,1576,440,901,.488,236,531,.444,204,370,.551,.619,200,217,.922,32,204,236,240,56,18,128,118,1316
120,Troy Daniels\danietr01,SG,27,PHO,29,0,383,57,140,.407,39,103,.379,18,37,.486,.546,12,16,.750,6,25,31,9,16,2,18,39,165
121,Anthony Davis\davisan02,C,25,NOP,45,45,1618,451,888,.508,41,127,.323,410,761,.539,.531,323,399,.810,142,438,580,189,73,114,88,116,1266
122,Ed Davis\davised01,C,29,BRK,58,1,1061,138,224,.616,0,2,.000,138,222,.622,.616,66,113,.584,163,337,500,48,29,27,49,161,342
123,Tyler Davis\davisty01,C,21,OKC,1,0,1,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0
124,Dewayne Dedmon\dedmode01,C,29,ATL,48,37,1189,188,385,.488,63,162,.389,125,223,.561,.570,68,79,.861,73,264,337,63,47,47,68,162,507
125,Sam Dekker\dekkesa01,SF-PF,24,TOT,35,5,598,99,199,.497,13,42,.310,86,157,.548,.530,18,30,.600,41,80,121,33,31,7,17,36,229
125,Sam Dekker\dekkesa01,PF,24,CLE,9,5,169,22,48,.458,5,13,.385,17,35,.486,.510,8,10,.800,9,24,33,9,11,0,5,13,57
125,Sam Dekker\dekkesa01,SF,24,WAS,26,0,429,77,151,.510,8,29,.276,69,122,.566,.536,10,20,.500,32,56,88,24,20,7,12,23,172
126,Angel Delgado\delgaan01,C,24,LAC,1,0,14,1,4,.250,0,0,,1,4,.250,.250,1,2,.500,2,2,4,0,1,0,0,2,3
127,Matthew Dellavedova\dellama01,PG,28,TOT,41,0,681,86,204,.422,39,109,.358,47,95,.495,.517,35,44,.795,5,59,64,148,9,1,60,64,246
127,Matthew Dellavedova\dellama01,PG,28,MIL,12,0,97,6,19,.316,4,11,.364,2,8,.250,.421,4,4,1.000,0,10,10,29,2,0,11,9,20
127,Matthew Dellavedova\dellama01,PG,28,CLE,29,0,584,80,185,.432,35,98,.357,45,87,.517,.527,31,40,.775,5,49,54,119,7,1,49,55,226
128,Luol Deng\denglu01,SF,33,MIN,18,2,310,49,98,.500,12,37,.324,37,61,.607,.561,21,29,.724,19,45,64,13,11,6,10,17,131
129,DeMar DeRozan\derozde01,SG,29,SAS,54,54,1906,447,966,.463,7,41,.171,440,925,.476,.466,254,309,.822,42,289,331,331,54,26,142,123,1155
130,Marcus Derrickson\derrima01,PF,22,GSW,9,0,54,10,24,.417,5,14,.357,5,10,.500,.521,3,4,.750,5,3,8,1,0,1,3,9,28
131,Cheick Diallo\diallch01,PF,22,NOP,41,0,459,77,128,.602,0,2,.000,77,126,.611,.602,29,42,.690,40,117,157,14,15,22,26,53,183
132,Hamidou Diallo\diallha01,SG,20,OKC,45,3,515,75,161,.466,4,23,.174,71,138,.514,.478,36,59,.610,37,57,94,17,20,10,23,75,190
133,Gorgui Dieng\dienggo01,C,29,MIN,57,0,762,124,251,.494,13,42,.310,111,209,.531,.520,58,66,.879,59,174,233,50,31,29,35,107,319
134,Spencer Dinwiddie\dinwisp01,PG,25,BRK,49,4,1399,275,596,.461,96,262,.366,179,334,.536,.542,198,249,.795,21,100,121,246,28,11,114,136,844
135,Donte DiVincenzo\divindo01,SG,22,MIL,23,0,358,42,107,.393,17,69,.246,25,38,.658,.472,9,11,.818,13,43,56,27,12,6,18,34,110
136,Luka Doncic\doncilu01,SG,19,DAL,55,55,1772,377,877,.430,134,385,.348,243,492,.494,.506,252,349,.722,61,334,395,307,57,15,178,102,1140
137,Tyler Dorsey\dorsety01,SG,22,TOT,28,0,261,36,95,.379,11,42,.262,25,53,.472,.437,16,26,.615,10,35,45,18,8,1,10,21,99
137,Tyler Dorsey\dorsety01,SG,22,ATL,27,0,251,32,89,.360,10,39,.256,22,50,.440,.416,16,26,.615,9,34,43,17,7,1,10,20,90
137,Tyler Dorsey\dorsety01,G,22,MEM,1,0,10,4,6,.667,1,3,.333,3,3,1.000,.750,0,0,,1,1,2,1,1,0,0,1,9
138,Damyean Dotson\dotsoda01,SG,24,NYK,49,16,1212,172,408,.422,68,186,.366,104,222,.468,.505,45,63,.714,28,142,170,69,42,6,36,89,457
139,PJ Dozier\doziepj01,SG,22,BOS,4,0,10,3,6,.500,1,2,.500,2,4,.500,.583,0,0,,2,2,4,0,0,0,0,1,7
140,Goran Dragic\dragigo01,PG,32,MIA,14,14,408,77,188,.410,22,70,.314,55,118,.466,.468,38,50,.760,8,35,43,68,10,4,35,30,214
